id,name,location,timing,req_time,fee,des,no_votes
1,Carter Road,Bandra,24 hrs,1 - 3 hrs,0,Situated next to Bandstand Promenade just next to Bandra Carter Road is one of the most happening and popular hangout places among the Mumbaikars. The locale is a haven for foodies owing to its bazillion food options from the umpteen eateries situated on the sidewalk. Replete with numerous pubs big brand stores and an enchanting coastline the region is thronged by locals and tourist alike. Alongside is the namesake promenade which is a 1.25 kms walkway along the Arabian Sea with concrete monotone pathways a huge yet charming gazebo and a vermicomposting setup to generate solar and wind energy.,30
2,Bandstand,Bandra,24 hrs,1 - 3 hrs,0,Bandra Bandstand or Bandstand Promenade is the popular promenade in the queen suburbs of Bandra in Mumbai. It boasts of a joggers’ strip and a park making it quite a popular hangout spot. Dotted with food junctions and sprinkled with hawkers selling street snacks the promenade is replete with swarms of people at all points of the day. Besides presenting an enthralling picture of the adjacent sea and the mesmerising skyline Bandstand also boasts of being Shahrukh Khan’s residential place which is a major pull for the tourists.,30
3,Uran,Navi Mumbai,24 hrs,1 - 2 hrs,0,Situated at the end of Navi Mumbai Uran lies in the Konkan division between Panvel and Karjat. Primarily a tiny fishing and agriculture village Uran has several beaches to its attribute- the most popular of which are Pirvad Mankeshwar and ONGC. Surrounded by water bodies on three sides the village is just attached to the land from the side of Raigarh district. Pirvad is the most frequented beach with plenty of tourists visiting it every day Mankeshwar is considered to be a religious beach owing to the grand temple of Lord Shiva situated at the seaside itself. Whereas ONGC is popular for housing the gas plant at the beach.,30
4,Worli Sea Face,South Mumbai,24 hrs,1 - 2 hrs,0,Worli Seaface is one of the most prominent promenades in Mumbai and is located right along the Arabian Sea. The exuberant area with lashing waves and gushing waters of the Arabian Sea is situated in Worli Mumbai and is popularly called Worli Sea Face. Home to the rich and affluent residential colonies the posh locale is also a major business district. Extending from Worli Fort in the north to Prabhadevi in the south the seafront offers picturesque vistas of the endless blue sea with a hazy image of Haji Ali Dargah in the distance. The major attractions of the Worli Sea Face are the quaint Worli Fort Bandra- Worli Sea Link Haji Ali Dargah etc.,30
5,Kalamb Beach,Mumbai,24 hrs,1 - 2 hrs,0,Located in Nalasopara in Thane district of Maharashtra is the really long and secluded Kalamb Beach. A paradise away from the din of the city the beach is beautiful owing to its tranquility serenity and an altogether mesmerising panorama. With very few shacks and just the right number of eateries Kalamb Beach offers a wonderful vista of landscape and seascape. Hemmed with pretty palm trees sprinkled with resorts and gracefully blessed with silken black sand; the beach is an absolute treat to just laze around in a hammock or sunbathe under the open skies.,30
6,Aksa Beach,Western Suburbs,24 hrs,1 - 2 hrs,0,Located a little on the outskirts of the city in Malad Aksa Beach is an unparalleled oasis for a rejuvenating retreat from the hustle bustle of the city traffic. The beach no doubt owes most of its fame to the song ‘Tujhe Aksa Beach ghuma du’ from the hot shot Bollywood movie but is lately becoming a choicest pick among tourists seeking tranquility and peace from the mainstream chowpattis in Bombay. The mesmerising coastline is one of the longest in the city and offers an extremely vivid and surreal panorama of the merging horizon ahead. The beach is still untouched by the city crowds and hence maintains its natural charm apart from being immaculately clean.,30
7,Dadar Chowpatty Beach,South Mumbai,24 hrs,1 - 2 hrs,0,As the name suggests Dadar Chowpatty Beach is situated in the Dadar suburbs of Mumbai. Majorly popular for the giant view of the Bandra Worli Sea Link bridge this beach is customarily used for jogging and watching beautiful sunsets. Located in South Bombay the beach is frequented by residential locals coming for an evening stroll early morning yoga or to spend some leisure time. The absence of shacks and eateries ward off the tourists a little bit. However as of now the beach also presents an ugly picture as it has become a dump yard of local filth and a victim of city pollution. The government has been actively working for the renovation and beautification of Dadar Chowpatty.,30
8,Versova Beach,Andheri,24 hrs,1 - 2 hrs,0,A continuation of Juhu Beach towards the Andheri suburbs Versova Beach is comparatively less crowded and only separated by a creek from the former beach. Versova is essentially a fishing village inhabited by Kolis (fisherfolks) situated in the vicinity of the beach and is a hotbed for fish trade. The beach is rather small but is extremely popular for the humongous fish market and the fish auctions held at the spot on a daily basis. Separated by huge rock boulders to keep the village safe from the sea waves and tides the beach attracts tourists owing to its natural beauty and surreal horizon views.,31
9,Marve Beach,Western Suburbs,24 hrs,2 - 3 hrs,0,Away from the industrial pollution and the chaotic city life Marve Beach is situated in Malad in the western suburbs of Mumbai. Due to the strong tides and currents it is generally not recommended to swim in the sea waters or even to step aside post evening hours. Lined by cashew nut trees and elite villas the beach is a charming spot to spend some quiet time with your loved ones. Mostly frequented by couples owing to the romantic appeal and idyllic setting the beach is also visited by college troupes and families occasionally.,30
10,Madh Island,Western Suburbs,24 hrs,3 - 4 hrs,0,Madh Island an island located off the coast on Mumbai is home to umpteen villages farmlands and surreal vistas. In recent times it has found popularity as a weekend destination among the rich and elite of Mumbai. Dotted with quaint settlements and lush green farms Madh Island is a respite from the glitterati and dazzling environs of the city and can be reached by an hour’s drive or a ferry ride from the city. The island is bordered by the Arabian Sea on the west and Malad Creek on the east. Primarily inhabited by Kolis Marathis and Roman Catholics it also has several luxury resorts to give you a respite from city life.,30
11,Gorai Beach,Western Suburbs,24 hrs,2 - 3 hrs,0,Located in the north suburb of Mumbai 40 kms from the main city Gorai Beach is one the cleanest most tranquil and one of the most frequented beaches of Mumbai. Located near Bhayandar on the Gorai Creek the soothing calmness of this beach bordering the Arabian Sea makes for a perfect leisure weekend vacation. Other than the umpteen food shacks and street food options available at the spot the beach is also replete with resorts and beach houses. Other than the numerous water sports camel rides boat rides and fun picnics you can also rent one of these cottages to have a quiet private time with your friends and family.,30
12,Mount Mary Church,Bandra,6:00 AM - 9:00 PM,1-2 hrs,0,The Basilica of Our Lady of the Mount commonly called as the Mount Mary Church by the locals is a Roman Catholic Church situated atop a hillock 262 feet above sea level and is one of the finest specimens of its kind. Located in the suburbs of the vibrant city of Mumbai the church enjoys a stunning view of the joyfully bustling Arabian Sea as it beautifully reflects different shades of blue.,32
13,Mahipatagad Trek,Mumbai,6:00 AM - 9:00 PM,,0,Mahipatagad is a hill fort in the state of Maharashtra. Mahipatagad is a twin fort of Rasalgad located in the Ratnagiri district.,35
